ds,y
2021-07-30 03:06:16,30.2
2021-07-30 03:08:16,30.2
2021-07-30 03:10:16,30.2
2021-07-30 03:12:16,30.2
2021-07-30 03:14:16,30.2
2021-07-30 03:16:16,30.2
2021-07-30 03:18:16,30.2
2021-07-30 03:20:16,30.2
2021-07-30 03:22:16,30.2
2021-07-30 03:24:16,30.2
2021-07-30 03:26:16,30.2
2021-07-30 03:28:16,30.2
2021-07-30 03:30:16,30.2
2021-07-30 03:32:16,30.2
2021-07-30 03:34:16,30.2
2021-07-30 03:36:16,30.2
2021-07-30 03:38:16,30.2
2021-07-30 03:40:16,30.3
2021-07-30 03:42:16,30.3
2021-07-30 03:44:16,30.3
2021-07-30 03:46:16,30.3
2021-07-30 03:48:16,30.3
2021-07-30 03:50:16,30.3
2021-07-30 03:52:16,30.3
2021-07-30 03:54:16,30.3
2021-07-30 03:56:16,30.4
2021-07-30 03:58:16,30.3
2021-07-30 04:00:16,30.4
2021-07-30 04:02:16,30.3
2021-07-30 04:04:16,30.3
2021-07-30 04:06:16,30.4
2021-07-30 04:08:16,30.4
2021-07-30 04:10:16,30.4
2021-07-30 04:12:16,30.4
2021-07-30 04:14:16,30.4
2021-07-30 04:16:16,30.4
2021-07-30 04:18:16,30.4
2021-07-30 04:20:16,30.5
2021-07-30 04:22:16,30.5
2021-07-30 04:24:16,30.5
2021-07-30 04:26:16,30.5
2021-07-30 04:28:16,30.5
2021-07-30 04:30:16,30.5
2021-07-30 04:32:15,30.5
2021-07-30 04:34:15,30.5
2021-07-30 04:36:16,30.5
2021-07-30 04:38:16,30.5
2021-07-30 04:40:16,30.6
2021-07-30 04:42:16,30.6
2021-07-30 04:44:16,30.6
2021-07-30 04:46:15,30.6
2021-07-30 04:48:15,30.6
2021-07-30 04:50:16,30.6
2021-07-30 04:52:16,30.6
2021-07-30 04:54:16,30.6
2021-07-30 04:56:16,30.6
2021-07-30 04:58:16,30.6
2021-07-30 05:00:15,30.6
2021-07-30 05:02:16,30.6
2021-07-30 05:04:16,30.7
2021-07-30 05:06:16,30.7
2021-07-30 05:08:16,30.7
2021-07-30 05:10:16,30.7
2021-07-30 05:12:15,30.7
2021-07-30 05:14:15,30.7
2021-07-30 05:16:15,30.7
2021-07-30 05:18:15,30.7
2021-07-30 05:20:16,30.7
2021-07-30 05:22:16,30.7
2021-07-30 05:24:16,30.8
2021-07-30 05:26:15,30.8
2021-07-30 05:28:15,30.7
2021-07-30 05:30:16,30.8
2021-07-30 05:32:15,30.7
2021-07-30 05:34:16,30.8
2021-07-30 05:36:15,30.8
2021-07-30 05:38:16,30.8
2021-07-30 05:40:15,30.8
2021-07-30 05:42:15,30.8
2021-07-30 05:44:16,30.8
2021-07-30 05:46:15,30.8
2021-07-30 05:48:15,30.8
2021-07-30 05:50:16,30.8
2021-07-30 05:52:16,30.8
2021-07-30 05:54:15,30.8
2021-07-30 05:56:15,30.8
2021-07-30 05:58:15,30.8
2021-07-30 06:00:15,30.8
2021-07-30 06:02:15,30.8
2021-07-30 06:04:15,30.8
2021-07-30 06:06:16,30.8
2021-07-30 06:08:15,30.9
2021-07-30 06:10:15,30.9
2021-07-30 06:12:15,30.9
2021-07-30 06:14:15,30.9
2021-07-30 06:16:16,30.9
2021-07-30 06:18:15,30.9
2021-07-30 06:20:15,30.9
2021-07-30 06:22:15,30.9
2021-07-30 06:24:15,30.9
2021-07-30 06:26:16,30.9
2021-07-30 06:28:15,30.9
