ds,yhat
2021-07-30 19:44:16,30.678555860142556
2021-07-30 19:44:21,30.67851477263324
2021-07-30 19:44:26,30.678473685123926
2021-07-30 19:44:31,30.678432597614613
2021-07-30 19:44:36,30.678391510105296
2021-07-30 19:44:41,30.67835042259598
2021-07-30 19:44:46,30.678309335086666
2021-07-30 19:44:51,30.67826824757735
2021-07-30 19:44:56,30.678227160068037
2021-07-30 19:45:01,30.67818607255872
2021-07-30 19:45:06,30.678144985049403
2021-07-30 19:45:11,30.67810389754009
2021-07-30 19:45:16,30.678062810030777
2021-07-30 19:45:21,30.678021722521464
2021-07-30 19:45:26,30.677980635012144
2021-07-30 19:45:31,30.67793954750283
2021-07-30 19:45:36,30.677898459993518
2021-07-30 19:45:41,30.6778573724842
2021-07-30 19:45:46,30.677816284974888
2021-07-30 19:45:51,30.67777519746557
2021-07-30 19:45:56,30.677734109956255
2021-07-30 19:46:01,30.67769302244694
2021-07-30 19:46:06,30.67765193493763
2021-07-30 19:46:11,30.677610847428312
2021-07-30 19:46:16,30.677569759918995
2021-07-30 19:46:21,30.677528672409682
2021-07-30 19:46:26,30.67748758490037
2021-07-30 19:46:31,30.677446497391053
2021-07-30 19:46:36,30.677405409881736
2021-07-30 19:46:41,30.677364322372423
2021-07-30 19:46:46,30.677323234863106
2021-07-30 19:46:51,30.677282147353793
2021-07-30 19:46:56,30.67724105984448
2021-07-30 19:47:01,30.67719997233516
2021-07-30 19:47:06,30.677158884825847
2021-07-30 19:47:11,30.677117797316534
2021-07-30 19:47:16,30.677076709807217
2021-07-30 19:47:21,30.677035622297904
2021-07-30 19:47:26,30.676994534788587
2021-07-30 19:47:31,30.676953447279274
2021-07-30 19:47:36,30.676912359769958
2021-07-30 19:47:41,30.676871272260644
2021-07-30 19:47:46,30.676830184751328
2021-07-30 19:47:51,30.67678909724201
2021-07-30 19:47:56,30.676748009732698
2021-07-30 19:48:01,30.676706922223385
2021-07-30 19:48:06,30.67666583471407
2021-07-30 19:48:11,30.67662474720475
2021-07-30 19:48:16,30.67658365969544
2021-07-30 19:48:21,30.676542572186126
2021-07-30 19:48:26,30.67650148467681
2021-07-30 19:48:31,30.676460397167496
2021-07-30 19:48:36,30.67641930965818
2021-07-30 19:48:41,30.676378222148863
2021-07-30 19:48:46,30.67633713463955
2021-07-30 19:48:51,30.676296047130236
2021-07-30 19:48:56,30.676254959620916
2021-07-30 19:49:01,30.676213872111603
2021-07-30 19:49:06,30.67617278460229
2021-07-30 19:49:11,30.676131697092973
2021-07-30 19:49:16,30.67609060958366
2021-07-30 19:49:21,30.676049522074344
2021-07-30 19:49:26,30.67600843456503
2021-07-30 19:49:31,30.675967347055714
2021-07-30 19:49:36,30.6759262595464
2021-07-30 19:49:41,30.675885172037088
2021-07-30 19:49:46,30.675844084527768
2021-07-30 19:49:51,30.675802997018454
2021-07-30 19:49:56,30.67576190950914
2021-07-30 19:50:01,30.675720821999825
2021-07-30 19:50:06,30.675679734490508
2021-07-30 19:50:11,30.675638646981195
2021-07-30 19:50:16,30.675597559471882
2021-07-30 19:50:21,30.675556471962565
2021-07-30 19:50:26,30.675515384453252
2021-07-30 19:50:31,30.675474296943936
2021-07-30 19:50:36,30.67543320943462
2021-07-30 19:50:41,30.675392121925306
2021-07-30 19:50:46,30.675351034415993
2021-07-30 19:50:51,30.675309946906676
2021-07-30 19:50:56,30.67526885939736
2021-07-30 19:51:01,30.675227771888046
2021-07-30 19:51:06,30.67518668437873
2021-07-30 19:51:11,30.675145596869417
2021-07-30 19:51:16,30.675104509360104
2021-07-30 19:51:21,30.675063421850787
2021-07-30 19:51:26,30.67502233434147
2021-07-30 19:51:31,30.674981246832157
2021-07-30 19:51:36,30.674940159322844
2021-07-30 19:51:41,30.674899071813524
2021-07-30 19:51:46,30.67485798430421
2021-07-30 19:51:51,30.674816896794898
2021-07-30 19:51:56,30.67477580928558
2021-07-30 19:52:01,30.674734721776268
2021-07-30 19:52:06,30.67469363426695
2021-07-30 19:52:11,30.674652546757635
2021-07-30 19:52:16,30.67461145924832
2021-07-30 19:52:21,30.67457037173901
2021-07-30 19:52:26,30.674529284229695
2021-07-30 19:52:31,30.674488196720375
2021-07-30 19:52:36,30.674447109211062
2021-07-30 19:52:41,30.67440602170175
2021-07-30 19:52:46,30.674364934192432
2021-07-30 19:52:51,30.67432384668312
2021-07-30 19:52:56,30.674282759173803
2021-07-30 19:53:01,30.674241671664486
2021-07-30 19:53:06,30.674200584155173
2021-07-30 19:53:11,30.67415949664586
2021-07-30 19:53:16,30.67411840913654
2021-07-30 19:53:21,30.674077321627227
2021-07-30 19:53:26,30.674036234117914
2021-07-30 19:53:31,30.6739951466086
2021-07-30 19:53:36,30.673954059099284
2021-07-30 19:53:41,30.673912971589967
2021-07-30 19:53:46,30.673871884080654
2021-07-30 19:53:51,30.673830796571337
2021-07-30 19:53:56,30.673789709062024
2021-07-30 19:54:01,30.67374862155271
