ds,y
2021-07-30 19:34:15,23.4
2021-07-30 19:36:15,23.4
2021-07-30 19:38:15,23.3
2021-07-30 19:40:15,23.3
2021-07-30 19:42:15,23.1
2021-07-30 19:44:16,23.1
2021-07-30 19:46:16,23.1
2021-07-30 19:48:15,23.1
2021-07-30 19:50:15,22.9
2021-07-30 19:52:15,22.9
2021-07-30 19:54:16,22.9
2021-07-30 19:56:16,22.8
2021-07-30 19:58:15,22.8
2021-07-30 20:00:16,22.7
2021-07-30 20:02:15,22.6
2021-07-30 20:04:15,22.6
2021-07-30 20:06:15,22.7
2021-07-30 20:08:15,22.6
2021-07-30 20:10:15,22.6
2021-07-30 20:12:15,22.6
2021-07-30 20:14:15,22.6
2021-07-30 20:16:15,22.4
2021-07-30 20:18:15,22.4
2021-07-30 20:20:15,22.4
2021-07-30 20:22:15,22.4
2021-07-30 20:24:15,22.3
2021-07-30 20:26:15,22.3
2021-07-30 20:28:15,22.3
2021-07-30 20:30:15,22.3
2021-07-30 20:32:15,22.3
2021-07-30 20:34:15,22.3
2021-07-30 20:36:15,22.3
2021-07-30 20:38:15,22.3
2021-07-30 20:40:16,22.3
2021-07-30 20:42:16,22.3
2021-07-30 20:44:16,22.2
2021-07-30 20:46:16,22.2
2021-07-30 20:48:16,22.1
2021-07-30 20:50:16,22.3
2021-07-30 20:52:16,22.4
2021-07-30 20:54:15,22.4
2021-07-30 20:56:15,22.3
2021-07-30 20:58:15,22.3
2021-07-30 21:00:15,22.3
2021-07-30 21:02:15,22.3
2021-07-30 21:04:15,22.2
2021-07-30 21:06:15,22.1
2021-07-30 21:08:15,22.1
2021-07-30 21:10:15,22.1
2021-07-30 21:12:15,22.1
2021-07-30 21:14:15,22.1
2021-07-30 21:16:15,22.1
2021-07-30 21:18:15,22.1
2021-07-30 21:20:15,22.1
2021-07-30 21:22:15,22.0
2021-07-30 21:24:15,21.9
2021-07-30 21:26:15,21.9
2021-07-30 21:28:15,21.9
2021-07-30 21:30:15,21.9
2021-07-30 21:32:15,21.9
2021-07-30 21:34:16,21.8
2021-07-30 21:36:16,21.8
2021-07-30 21:38:16,21.8
2021-07-30 21:40:16,21.7
2021-07-30 21:42:16,21.7
2021-07-30 21:44:15,21.6
2021-07-30 21:46:16,21.6
2021-07-30 21:48:15,21.5
2021-07-30 21:50:15,21.4
2021-07-30 21:52:16,21.4
2021-07-30 21:54:15,21.3
2021-07-30 21:56:15,21.3
2021-07-30 21:58:15,21.3
2021-07-30 22:00:15,21.3
2021-07-30 22:02:15,21.1
2021-07-30 22:04:15,21.1
2021-07-30 22:06:15,21.1
2021-07-30 22:08:15,21.1
2021-07-30 22:10:15,21.1
2021-07-30 22:12:15,21.1
2021-07-30 22:14:15,21.0
2021-07-30 22:16:15,21.0
2021-07-30 22:18:15,21.0
2021-07-30 22:20:15,21.0
2021-07-30 22:22:15,21.0
2021-07-30 22:24:15,21.0
2021-07-30 22:26:15,21.0
2021-07-30 22:28:15,20.9
2021-07-30 22:30:15,21.0
2021-07-30 22:32:16,20.9
2021-07-30 22:34:16,20.8
2021-07-30 22:36:16,20.8
2021-07-30 22:38:16,20.7
2021-07-30 22:40:16,20.7
2021-07-30 22:42:16,20.6
2021-07-30 22:44:16,20.7
2021-07-30 22:46:15,20.7
2021-07-30 22:48:15,20.6
2021-07-30 22:50:15,20.6
2021-07-30 22:52:15,20.6
2021-07-30 22:54:15,20.5
2021-07-30 22:56:15,20.5
2021-07-30 22:58:15,20.5
2021-07-30 23:00:15,20.5
2021-07-30 23:02:15,20.5
2021-07-30 23:04:15,20.4
2021-07-30 23:06:15,20.4
2021-07-30 23:08:15,20.3
2021-07-30 23:10:15,20.3
2021-07-30 23:12:15,20.3
2021-07-30 23:14:15,20.2
2021-07-30 23:16:15,20.3
2021-07-30 23:18:15,20.2
2021-07-30 23:20:15,20.1
2021-07-30 23:22:16,20.1
2021-07-30 23:24:16,20.1
2021-07-30 23:26:16,20.1
2021-07-30 23:28:16,20.1
2021-07-30 23:30:15,20.1
2021-07-30 23:32:15,20.1
2021-07-30 23:34:16,20.1
2021-07-30 23:36:16,20.1
2021-07-30 23:38:15,20.1
2021-07-30 23:40:15,20.0
2021-07-30 23:42:15,19.9
2021-07-30 23:44:15,19.9
2021-07-30 23:46:15,19.8
2021-07-30 23:48:15,19.8
2021-07-30 23:50:15,19.9
2021-07-30 23:52:15,19.8
2021-07-30 23:54:15,19.9
2021-07-30 23:56:15,19.8
2021-07-30 23:58:15,19.8
2021-07-31 00:00:15,19.8
2021-07-31 00:02:15,19.8
2021-07-31 00:04:15,19.6
2021-07-31 00:06:15,19.6
2021-07-31 00:08:15,19.6
2021-07-31 00:10:15,19.7
2021-07-31 00:12:15,19.6
2021-07-31 00:14:15,19.6
2021-07-31 00:16:16,19.6
2021-07-31 00:18:16,19.6
2021-07-31 00:20:15,19.6
2021-07-31 00:22:16,19.5
2021-07-31 00:24:16,19.5
2021-07-31 00:26:16,19.5
2021-07-31 00:28:15,19.6
2021-07-31 00:30:15,19.6
2021-07-31 00:32:15,19.6
2021-07-31 00:34:15,19.6
2021-07-31 00:38:15,19.7
2021-07-31 00:40:15,19.6
2021-07-31 00:42:15,19.6
2021-07-31 00:44:15,19.6
2021-07-31 00:46:15,19.6
2021-07-31 00:48:15,19.6
2021-07-31 00:50:15,19.6
2021-07-31 00:52:15,19.5
2021-07-31 00:54:15,19.5
2021-07-31 00:56:15,19.6
2021-07-31 00:58:15,19.5
2021-07-31 01:00:15,19.5
2021-07-31 01:02:15,19.5
2021-07-31 01:04:15,19.4
2021-07-31 01:06:15,19.4
2021-07-31 01:08:15,19.4
2021-07-31 01:10:15,19.3
2021-07-31 01:12:16,19.2
2021-07-31 01:14:15,19.1
2021-07-31 01:16:15,19.1
2021-07-31 01:18:15,19.0
2021-07-31 01:20:15,18.9
2021-07-31 01:22:15,19.0
2021-07-31 01:24:15,19.0
